Time,x_meas,y_meas,theta_meas,x_out,vx_out,y_out,vy_out,theta_out,w_out
0.02107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.032413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.038768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.045134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.053424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.064306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.067652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.072254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.074636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.078162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.083572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.086481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.127537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.132039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.138435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.142579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.146338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.159399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.163047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.166635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.184859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.210356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.214081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.218401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.222472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.231092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.254433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.258585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.266657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.290514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.294098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.302334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.306782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.310412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.314123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.317843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.321827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.325428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.328719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.332007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.335345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.338859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.342761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.346344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.350254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.353832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.358313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.361809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.373596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.377106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.380983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.384994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.389179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.393226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.397457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.401745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.406195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.413613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.421136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.427083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.440962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.446894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.452974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.462738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.466505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.472298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.478014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.483837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.499713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.530056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.56776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.609077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.650967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.700825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.732625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.771213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.783771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.798414,-0.3436578010194914,-0.12086593429686852,-0.048353571530519855,-0.10730481250968534,-0.11350894779067668,-0.037739566452611464,-0.03992158765223688,-0.015098074048846657,-0.015971012472489256
0.812009,-0.3436578010194914,-0.12086593429686852,-0.048353571530519855,-0.18144794660762284,-0.18312570099047304,-0.06381602724547139,-0.06440610071507481,-0.02553021127217193,-0.025766275800086398
0.830209,-0.3436578010194914,-0.12086593429686852,-0.048353571530519855,-0.23388964481228794,-0.2301959154372789,-0.08225999921647797,-0.08096089862680467,-0.03290889843655086,-0.03238918083660395
0.836094,-0.3436578010194914,-0.12086593429686852,-0.048353571530519855,-0.2682574991342951,-0.2557601265027838,-0.09434732215832636,-0.08995194217602223,-0.03774454743791139,-0.03598613369118818
0.841997,-0.3436578010194914,-0.12086593429686852,-0.048353571530519855,-0.2920780774220682,-0.2701497306659842,-0.10272512252165962,-0.09501282816838963,-0.04109616649826515,-0.03801078947417072
0.847864,-0.3436578010194914,-0.12086593429686852,-0.048353571530519855,-0.3086838026655839,-0.27847593620666417,-0.10856542787855965,-0.09794119065233908,-0.043432636443066296,-0.039182308857681654
0.853535,-0.3436578010194914,-0.12086593429686852,-0.048353571530519855,-0.3202651649351944,-0.2833627632450774,-0.11263864305654883,-0.0996599088481513,-0.04506216508249536,-0.03986989848916449
0.859649,-0.3436578010194914,-0.12086593429686852,-0.048353571530519855,-0.3284745683815759,-0.28628682094319396,-0.11552592573898254,-0.10068831258166865,-0.046217250099014416,-0.040281321226101646
0.865044,-0.3436578010194914,-0.12086593429686852,-0.048353571530519855,-0.3340915019382947,-0.287973759472133,-0.11750142555363026,-0.1012816161551558,-0.04700756766989817,-0.040518677987928846
0.87044,-0.3436578010194914,-0.12086593429686852,-0.048353571530519855,-0.3380356742845745,-0.2889047651349525,-0.11888860801899771,-0.10160905487163054,-0.047562523265577264,-0.040649672974159085
0.876555,-0.3436578010194914,-0.12086593429686852,-0.048353571530519855,-0.34095227459255556,-0.28934938026375595,-0.11991438895616514,-0.10176542793456096,-0.047972896727781614,-0.04071223151166463
0.88716,-0.3436578010194914,-0.12086593429686852,-0.048353571530519855,-0.34391226758290944,-0.2892985040668779,-0.1209554312873154,-0.10174753455617438,-0.048389375656426085,-0.04070507309472299
0.949117,-0.3436578010194914,-0.12086593429686852,-0.048353571530519855,-0.3560039831139064,-0.2813910247996682,-0.1252081399136591,-0.0989664399128137,-0.050090712364396224,-0.03959246961754646
